sector,year,employees_thousand,sector_rank
Accommodation Services,2016,207.4,4
Accommodation Services,2017,210.5,4
Accommodation Services,2018,222.4,4
Accommodation Services,2019,233.8,4
Accommodation Services,2020,208.5,4
Accommodation Services,2021,196.3,4
Accommodation Services,2022,201.0,4
Accommodation Services,2023,225.6,4
Accommodation Services,2024,231.9,4
Food & Beverage Services,2016,1002.6,2
Food & Beverage Services,2017,1087.0,2
Food & Beverage Services,2018,1183.0,2
Food & Beverage Services,2019,1237.7,2
Food & Beverage Services,2020,1192.0,2
Food & Beverage Services,2021,1245.5,2
Food & Beverage Services,2022,1266.8,2
Food & Beverage Services,2023,1244.5,2
Food & Beverage Services,2024,1294.4,2
Passenger Transport,2016,164.5,5
Passenger Transport,2017,162.5,5
Passenger Transport,2018,171.3,5
Passenger Transport,2019,177.3,5
Passenger Transport,2020,165.2,5
Passenger Transport,2021,162.1,5
Passenger Transport,2022,166.2,5
Passenger Transport,2023,171.9,5
Passenger Transport,2024,175.7,5
Travel Agencies & Reservation,2016,35.8,8
Travel Agencies & Reservation,2017,40.1,8
Travel Agencies & Reservation,2018,38.7,8
Travel Agencies & Reservation,2019,40.7,8
Travel Agencies & Reservation,2020,34.1,8
Travel Agencies & Reservation,2021,26.3,8
Travel Agencies & Reservation,2022,28.1,8
Travel Agencies & Reservation,2023,27.7,8
Travel Agencies & Reservation,2024,29.4,8
"Cultural, Sports & Recreation",2016,74.8,6
"Cultural, Sports & Recreation",2017,78.9,6
"Cultural, Sports & Recreation",2018,80.9,6
"Cultural, Sports & Recreation",2019,81.2,6
"Cultural, Sports & Recreation",2020,66.5,6
"Cultural, Sports & Recreation",2021,52.3,6
"Cultural, Sports & Recreation",2022,53.5,6
"Cultural, Sports & Recreation",2023,54.6,6
"Cultural, Sports & Recreation",2024,58.4,6
Retail Sale of Automotive Fuel,2016,33.4,7
Retail Sale of Automotive Fuel,2017,34.4,7
Retail Sale of Automotive Fuel,2018,34.6,7
Retail Sale of Automotive Fuel,2019,34.7,7
Retail Sale of Automotive Fuel,2020,34.3,7
Retail Sale of Automotive Fuel,2021,34.4,7
Retail Sale of Automotive Fuel,2022,35.2,7
Retail Sale of Automotive Fuel,2023,30.4,7
Retail Sale of Automotive Fuel,2024,31.4,7
Retail Trade,2016,1106.0,1
Retail Trade,2017,1104.5,1
Retail Trade,2018,1147.9,1
Retail Trade,2019,1158.1,1
Retail Trade,2020,1156.2,1
Retail Trade,2021,1181.9,1
Retail Trade,2022,1211.6,1
Retail Trade,2023,1254.9,1
Retail Trade,2024,1339.5,1
Country-specific Tourism Services,2016,557.2,3
Country-specific Tourism Services,2017,590.7,3
Country-specific Tourism Services,2018,592.3,3
Country-specific Tourism Services,2019,598.5,3
Country-specific Tourism Services,2020,601.3,3
Country-specific Tourism Services,2021,621.3,3
Country-specific Tourism Services,2022,645.6,3
Country-specific Tourism Services,2023,372.6,3
Country-specific Tourism Services,2024,377.1,3
