sector,year,gva_rm_million
Accommodation,2018,24733
Accommodation,2019,26407
Accommodation,2020,12169
Accommodation,2021,10054
Accommodation,2022,15133
Accommodation,2023,18705
Accommodation,2024,20415
Food & Beverage,2018,37782
Food & Beverage,2019,43167
Food & Beverage,2020,35611
Food & Beverage,2021,34078
Food & Beverage,2022,42622
Food & Beverage,2023,45160
Food & Beverage,2024,47726
Transport,2018,8799
Transport,2019,9380
Transport,2020,5011
Transport,2021,4154
Transport,2022,6329
Transport,2023,7535
Transport,2024,8473
Travel Agencies,2018,3819
Travel Agencies,2019,4227
Travel Agencies,2020,1412
Travel Agencies,2021,369
Travel Agencies,2022,3102
Travel Agencies,2023,4109
Travel Agencies,2024,4856
Cultural & Sports,2018,10482
Cultural & Sports,2019,11307
Cultural & Sports,2020,6050
Cultural & Sports,2021,3992
Cultural & Sports,2022,8199
Cultural & Sports,2023,10287
Cultural & Sports,2024,11875
Automotive Fuel,2018,4468
Automotive Fuel,2019,4726
Automotive Fuel,2020,4173
Automotive Fuel,2021,4368
Automotive Fuel,2022,6299
Automotive Fuel,2023,4893
Automotive Fuel,2024,5162
Retail Trade,2018,102524
Retail Trade,2019,111122
Retail Trade,2020,106328
Retail Trade,2021,110964
Retail Trade,2022,136747
Retail Trade,2023,145804
Retail Trade,2024,154456
Tourism Services,2018,27778
Tourism Services,2019,29695
Tourism Services,2020,28915
Tourism Services,2021,29905
Tourism Services,2022,31696
Tourism Services,2023,35434
Tourism Services,2024,38958
