year,quarter,period,visitors_thousands,qoq_pct,yoy_pct,expenditure_rm_million
2021,Q1,2021-Q1,14154,-54.2,-73.3,3969
2021,Q2,2021-Q2,11082,-45.6,-53.9,2161
2021,Q3,2021-Q3,13470,48.4,-73.7,3206
2021,Q4,2021-Q4,27270,183,4.7,9074
2022,Q1,2022-Q1,36363,44,229.2,13065
2022,Q2,2022-Q2,45468,35.1,716.9,17653
2022,Q3,2022-Q3,43000,-15.1,367.7,14996
2022,Q4,2022-Q4,46772,22.5,102.4,18367
2023,Q1,2023-Q1,49262,4.6,47,19206
2023,Q2,2023-Q2,55284,13.9,23.9,21878
2023,Q3,2023-Q3,54165,-8.3,33.8,20070
2023,Q4,2023-Q4,55032,18.5,29.5,23778
2024,Q1,2024-Q1,58614,1.2,25.3,24063
2024,Q2,2024-Q2,68439,16.9,28.6,28136
2024,Q3,2024-Q3,66256,-9.1,27.4,25562
2024,Q4,2024-Q4,66817,13.4,21.9,28985
2025,Q1,2025-Q1,69678,1.4,22.1,29384
2025,Q2,2025-Q2,73753,-0.6,3.8,29206
2025,Q3,2025-Q3,72604,2.2,16.7,29840
2025,Q4,2025-Q4,74030,9.1,12.4,32566
