Year,Quarter,Period Label,Domestic Visitors ('000),QoQ (%),YoY (%),Total Expenditure (RM million),QoQ (%),YoY (%)
2021,Q1,2021-Q1,14154,-57.2,-69.6,3969,-54.2,-73.3
2021,Q2,2021-Q2,11082,-21.7,-35.6,2161,-45.6,-53.9
2021,Q3,2021-Q3,13470,21.5,-61.3,3206,48.4,-73.7
2021,Q4,2021-Q4,27270,102.4,-17.5,9074,183,4.7
2022,Q1,2022-Q1,36363,33.3,156.9,13065,44,229.2
2022,Q2,2022-Q2,45468,25,310.3,17653,35.1,716.9
2022,Q3,2022-Q3,43000,-5.4,219.2,14996,-15.1,367.7
2022,Q4,2022-Q4,46772,8.8,71.5,18367,22.5,102.4
2023,Q1,2023-Q1,49262,5.3,35.5,19206,4.6,47
2023,Q2,2023-Q2,55284,12.2,21.6,21878,13.9,23.9
2023,Q3,2023-Q3,54165,-2,26,20070,-8.3,33.8
2023,Q4,2023-Q4,55032,1.6,17.7,23778,18.5,29.5
2024,Q1,2024-Q1,58614,6.5,19,24063,1.2,25.3
2024,Q2,2024-Q2,68439,16.8,23.8,28136,16.9,28.6
2024,Q3,2024-Q3,66256,-3.2,22.3,25562,-9.1,27.4
2024,Q4,2024-Q4,66817,0.8,21.4,28985,13.4,21.9
2025,Q1,2025-Q1,69678,4.3,18.9,29384,1.4,22.1
2025,Q2,2025-Q2,73753,5.8,7.8,29206,-0.6,3.8
2025,Q3,2025-Q3,72604,-1.6,9.6,29840,2.2,16.7
2025,Q4,2025-Q4,74030,2,10.8,32566,9.1,12.4
